"codigo","nombre"
"FLX-FAT-01","Aprendizaje organizacional (FAT)"
"FLX-FAT-02","Retrospectivas efectivas"
"FLX-GAE-01","Aprendiendo de los fracasos (GAE)"
"FLX-GAE-02","Deuda técnica gestionada"
"FLX-NMP-01","Mejorando el proceso (NMP)"
"FLX-NMP-02","Errores por sprint"
"FSH-ATM-01","Atmósfera del equipo"
"FSH-CFG-01","Configuración del equipo"
"FSH-CMP-01","Compromiso"
"FSH-CMP-02","Estado de ánimo"
"FSH-COM-01","Efectividad de la comunicación"
"FSH-CON-01","Confianza en el equipo"
"FSH-HAB-01","Habilidades sociales"
"FSH-LID-01","Liderazgo del equipo"
"FSH-MOT-01","Motivación intrínseca"
"FSH-ORG-01","Sentimiento de orgullo"
"FSH-POD-01","Autonomía en decisiones"
"FSH-SAT-01","Satisfacción del equipo"
"IMP-CAL-01","Defectos encontrados"
"IMP-CAL-02","Errores en producción"
"IMP-EMG-01","Establecimiento de metas"
"IMP-EMG-02","Cumplimiento del sprint goal"
"IMP-MR-01","Manejo de requisitos"
"IMP-MR-02","Cambios de alcance por sprint"
"SIG-CE-01","Capacidad del equipo"
"SIG-CE-02","Defectos"
"SIG-CRT-01","Comprensión de roles"
"SIG-CRT-02","Claridad de responsabilidades"
"SIG-CT-01","Capacidad de trabajo"
"SIG-CT-02","Calidad (TWQ)"
"SIG-SC-01","Satisfacción del cliente"
"SIG-SC-02","Problemas reportados por el cliente"
"SIG-VEL-01","Velocidad"
"SIG-VEL-02","Impedimentos por sprint"
