"column_name","data_type","is_nullable","column_default"
"id","uuid","NO","gen_random_uuid()"
"factor_id","uuid","YES",NULL
"user_id","character varying","NO",NULL
"user_email","character varying","NO",NULL
"objetivo","text","NO",NULL
"procedimiento","text","NO",NULL
"indicador_variable","character varying","NO",NULL
"escala","character varying","NO",NULL
"metrica_base_id","uuid","YES",NULL
"created_at","timestamp with time zone","NO","now()"
"status","character varying","NO","'pendiente'::character varying"
"revisado_por","character varying","YES",NULL
"revisado_at","timestamp with time zone","YES",NULL
"motivo_rechazo","text","YES",NULL
"proyecto_id","uuid","YES",NULL
"metrica_id","uuid","YES",NULL
"frecuencia_captura","character varying","YES","'por_sprint'::character varying"
"version","integer","NO","1"
"propuesta_ia_json","jsonb","YES",NULL
"configuracion_aprobada_json","jsonb","YES",NULL
